,Food&Drinks,AlcoholicItems,Cloothing&Footwear,Fuel&Power,HouseholdGoods,Health,Transport,Communication,Recreation&Culture,Education,Restaurants&Hotels,Goods&Services,AllExpenditure,OtherExpenditure,Total Exp,Income
0,4824,1000,1984,6080,3224,592,6424,1504,6008,536,4048,3496,39728,6016,45744,54435
1,4864,984,1992,6336,3320,608,6520,1512,6136,592,4152,3592,40608,6240,46848,58560
2,4416,1032,1960,4584,3248,352,5792,1376,6168,232,3656,2704,35512,4464,39976,41575
3,4512,1088,2000,5176,2944,416,5912,1424,5456,336,3832,3296,36376,5312,41688,51693
4,4352,952,1776,5120,3368,480,6184,1400,5936,368,3936,3176,37056,5360,42416,46233
5,4896,1088,1888,5344,3304,560,6512,1456,5784,480,3880,3496,38680,5584,44264,50460
6,4640,928,1688,5328,2728,616,5512,1472,5288,408,3248,3104,34968,5096,40064,41265
7,4976,976,1928,6040,3024,664,6752,1520,6272,288,3856,3704,39992,6144,46136,50288
8,5264,872,2392,10344,3288,656,6256,1672,5272,1480,5320,3960,46768,8120,54888,59827
9,5296,1000,2200,6432,4104,792,7896,1648,7968,728,4696,4224,46968,7608,54576,63308
10,4880,992,1768,6136,3592,744,7064,1464,6584,440,3968,3808,41440,6208,47648,50983
11,4488,960,1760,4760,2712,488,6168,1424,5656,152,3408,3000,34976,4840,39816,44992
12,4560,1120,1864,4992,2824,512,5824,1464,5632,272,3536,2920,35544,5112,40656,41062
13,5104,1176,2472,4288,2504,544,6040,1448,4160,392,3608,3128,34848,4176,39024,45267
14,2587,507,1002,3140,1572,345,3511,790,3261,149,2005,1926,20795,3194,23990,25909
15,2806,530,1166,3408,2175,419,4184,873,4223,385,2488,2238,24893,4032,28925,29214
16,1071,246,519,900,525,114,1268,304,873,82,757,656,7318,876,8195,9424
17,7296,1476,2988,9504,4980,912,9780,2268,9204,888,6228,5388,60912,9360,70272,85029
18,3985,752,1655,4840,3088,596,5942,1240,5996,547,3534,3178,35348,5725,41073,45592
19,7784,1729,3001,8496,5253,890,10354,2315,9196,763,6169,5558,61501,8878,70379,79529
20,11892,2405,4870,15491,8117,1486,15941,3696,15002,1447,10151,8782,99286,15256,114543,136306
21,20930,4234,8571,27265,14286,2616,28056,6506,26404,2547,17866,15457,174744,26851,201596,254011
22,1094,268,447,1198,677,122,1397,351,1351,65,848,700,8530,1226,9757,10928
23,1762,391,679,1923,1189,201,2344,524,2082,172,1396,1258,13924,2010,15935,17369
24,19027,3849,7792,24786,12987,2378,25506,5914,24004,2315,16242,14051,158858,24410,183269,199763
25,8110,1590,3142,9845,4929,1082,11005,2477,10223,469,6285,6037,65186,10014,75201,87233
26,7197,1599,2775,7855,4856,823,9572,2140,8502,705,5703,5139,56859,8208,65068,67020
27,1431,270,594,1738,1109,214,2134,445,2153,196,1269,1141,12695,2056,14751,15489
28,14031,2752,5436,17032,8527,1872,19039,4286,17686,812,10873,10444,112773,17325,130098,136603
29,1302,270,535,1641,870,159,1734,406,1622,144,1092,943,10726,1624,12350,12474
30,7520,1420,3124,9133,5827,1124,11212,2340,11314,1033,6668,5998,66694,10803,77497,79822
31,2782,525,1155,3379,2156,416,4148,865,4186,382,2467,2219,24676,3997,28674,30107
32,11875,2638,4579,12961,8013,1358,15794,3531,14029,1164,9410,8479,93818,13543,107362,135276
33,1682,387,815,1413,825,179,1991,477,1371,129,1189,1031,11489,1376,12866,16597
34,1678,339,687,2185,1145,209,2249,521,2116,204,1432,1239,14009,2152,16162,18910
35,2462,604,1006,2695,1524,276,3144,790,3041,146,1909,1576,19193,2760,21954,21954
36,32918,6659,13481,42880,22468,4114,44125,10232,41526,4006,28099,24309,274825,42230,317056,402661
37,2496,554,962,2725,1685,285,3321,742,2949,244,1978,1782,19726,2847,22574,25735
38,7405,1584,2904,7854,4474,805,10177,2349,9332,250,5623,4950,57710,7986,65696,73579
39,12688,2819,4893,13850,8562,1451,16877,3773,14990,1244,10055,9060,100246,14472,114719,118160
40,9479,1790,3938,11513,7346,1417,14133,2949,14262,1303,8405,7560,84072,13618,97691,108437
41,2378,508,932,2522,1437,258,3269,754,2997,80,1806,1590,18537,2565,21102,23845
42,20187,4486,7784,22035,13623,2309,26851,6003,23849,1979,15998,14415,159491,23024,182515,189816
43,2240,464,921,2823,1497,274,2983,698,2790,248,1879,1623,18449,2793,21243,26979
44,218,53,89,239,135,24,279,70,270,13,169,140,1706,245,1951,2146
45,29303,5928,12000,38171,20001,3662,39279,9109,36966,3566,25013,21639,244642,37592,282234,296346
46,7805,1882,3460,8954,5093,719,10227,2463,9438,581,6629,5702,62930,9189,72120,78611
47,46085,9323,18873,60032,31456,5760,61776,14325,58137,5609,39339,34033,384755,59123,443878,554848
48,3554,760,1393,3769,2147,386,4885,1127,4479,120,2699,2376,27700,3833,31534,39417
49,954,180,396,1159,739,142,1422,296,1435,131,846,761,8463,1370,9834,11998
50,2031,421,835,2560,1357,249,2705,633,2530,225,1705,1472,16733,2533,19267,23313
51,50694,10255,20761,66036,34602,6336,67953,15758,63951,6170,43273,37437,423230,65035,488266,502914
52,992,239,440,1138,647,91,1300,313,1200,73,843,725,8002,1168,9171,10271
53,19503,3945,7987,25406,13312,2437,26143,6062,24604,2373,16648,14403,162829,25021,187851,238570
54,8491,1726,3076,10676,6250,1294,12291,2547,11456,765,6904,6625,72105,10801,82907,103634
55,2604,540,1071,3283,1740,319,3468,812,3244,289,2185,1887,21453,3248,24701,27665
56,2591,554,1016,2748,1566,281,3562,822,3266,87,1968,1732,20198,2795,22993,26902
57,25347,5127,10380,33018,17301,3168,33976,7879,31975,3085,21636,18718,211615,32517,244133,266105
58,880,188,345,933,531,95,1209,279,1109,29,668,588,6858,949,7807,9213
59,3056,621,1107,3843,2250,466,4424,917,4124,275,2485,2385,25958,3888,29846,32831
60,32024,6478,13115,41715,21858,4003,42927,9954,40398,3897,27336,23649,267358,41083,308442,391721
61,3654,781,1433,3875,2208,397,5022,1159,4605,123,2775,2442,28480,3941,32421,40850
62,17581,3556,7200,22902,12000,2197,23567,5465,22179,2139,15008,12983,146785,22555,169340,203209
63,27076,5477,11088,35270,18481,3384,36294,8416,34156,3295,23112,19995,226049,34735,260784,260784
64,7414,1454,2872,8999,4505,989,10060,2264,9345,429,5745,5518,59588,9154,68742,76991
65,1374,259,570,1669,1064,205,2048,427,2067,188,1218,1096,12187,1974,14161,16569
66,471,108,228,396,231,50,558,133,384,36,333,289,3219,385,3605,4651
67,12057,2451,4368,15160,8875,1838,17453,3617,16267,1087,9804,9408,102389,15338,117728,128324
68,13687,2769,5605,17829,9342,1710,18347,4254,17266,1665,11683,10108,114272,17559,131831,138423
69,5332,1045,2065,6472,3240,711,7235,1628,6720,308,4131,3969,42853,6583,49437,50426
70,1374,259,570,1669,1064,205,2048,427,2067,188,1218,1096,12187,1974,14161,14303
71,778,179,376,653,381,82,920,220,634,59,550,476,5312,636,5949,7377
72,712,164,344,598,349,75,842,202,580,54,503,436,4862,582,5444,5608
73,1324,250,550,1608,1026,198,1974,412,1992,182,1174,1056,11742,1902,13644,16236
74,1345,269,489,1545,791,178,1598,426,1533,118,941,900,10140,1477,11618,12431
75,2537,515,919,3190,1867,386,3673,761,3423,228,2063,1980,21548,3228,24776,29732
76,10435,2319,4024,11390,7042,1193,13880,3103,12328,1023,8270,7451,82446,11902,94348,99066
77,13049,2559,5055,15839,7930,1741,17706,3986,16447,755,10111,9713,104875,16112,120987,147604
78,1048,233,404,1144,707,119,1394,311,1238,102,831,748,8285,1196,9481,10524
79,94,21,45,79,46,10,111,26,76,7,66,57,643,77,721,850
80,8586,1780,3531,10822,5738,1053,11434,2677,10694,954,7205,6222,70715,10708,81424,100151
81,3018,570,1254,3666,2339,451,4500,939,4541,414,2676,2407,26771,4336,31108,31730
82,1267,239,526,1539,982,189,1890,394,1907,174,1124,1011,11244,1821,13065,15939
83,1522,309,551,1914,1120,232,2203,456,2054,137,1238,1188,12929,1936,14866,18582
84,11626,2486,4559,12330,7025,1264,15978,3688,14651,393,8828,7771,90605,12538,103143,121709
85,2152,406,894,2613,1667,321,3208,669,3238,295,1908,1716,19087,3091,22179,24397
86,15199,3089,5506,19111,11187,2317,22001,4559,20506,1370,12358,11860,129069,19335,148404,164728
